race,tau,geoid_county
black,1.375,1001
black,0.875,1003
black,1.0,1005
black,0.25,1007
black,0.25,1009
black,0.25,1011
black,2.5,1013
black,1.25,1015
black,2.5,1017
black,0.875,1019
black,2.5,1021
black,0.25,1023
black,0.5,1025
black,0.5,1027
black,0.75,1029
black,1.0,1031
black,1.125,1033
black,0.25,1035
black,0.75,1037
black,1.125,1039
black,0.75,1041
black,0.25,1043
black,0.75,1045
black,2.5,1047
black,0.75,1049
black,0.1,1051
black,2.5,1053
black,0.875,1055
black,0.5,1057
black,0.75,1059
black,0.875,1061
black,0.5,1063
black,0.5,1065
black,0.25,1067
black,2.5,1069
black,0.5,1071
black,2.5,1073
black,0.25,1075
black,0.875,1077
black,0.75,1079
black,2.5,1081
black,0.75,1083
black,0.5,1085
black,0.5,1087
black,2.5,1089
black,0.5,1091
black,0.5,1093
black,1.0,1095
black,2.5,1097
black,0.75,1099
black,2.5,1101
black,2.5,1103
black,1.0,1105
black,0.875,1107
black,1.0,1109
black,0.25,1111
black,2.5,1113
black,0.75,1115
black,1.25,1117
black,0.5,1119
black,1.75,1121
black,1.5,1123
black,2.5,1125
black,1.25,1127
black,0.5,1129
black,1.25,1131
black,0.25,1133
black,0.1,2013
black,0.1,2016
black,0.5,2020
black,0.25,2050
black,2.5,2060
black,0.1,2068
black,0.5,2070
black,0.5,2090
black,0.1,2100
black,0.1,2105
black,0.25,2110
black,0.25,2122
black,0.25,2130
black,0.1,2150
black,0.1,2164
black,0.1,2170
black,0.1,2180
black,0.1,2185
black,2.5,2188
black,0.1,2195
black,0.1,2198
black,0.1,2220
black,0.1,2230
black,0.1,2240
black,0.25,2261
black,0.1,2270
black,0.1,2275
black,0.1,2282
black,2.5,2290
black,0.25,4001
black,1.125,4003
black,0.5,4005
black,0.25,4007
black,0.25,4009
black,0.1,4011
black,0.5,4012
black,0.5,4013
black,0.25,4015
black,0.25,4017
black,0.5,4019
black,0.5,4021
black,0.5,4023
black,0.25,4025
black,0.5,4027
black,1.125,5001
black,2.5,5003
black,2.5,5005
black,0.25,5007
black,0.5,5009
black,1.0,5011
black,0.875,5013
black,0.1,5015
black,2.5,5017
black,0.875,5019
black,2.5,5021
black,2.5,5023
black,0.25,5025
black,1.75,5027
black,1.0,5029
black,1.5,5031
black,0.25,5033
black,2.5,5035
black,1.125,5037
black,0.75,5039
black,2.5,5041
black,1.375,5043
black,1.5,5045
black,0.1,5047
black,0.5,5049
black,1.125,5051
black,0.1,5053
black,0.5,5055
black,0.875,5057
black,2.5,5059
black,0.875,5061
black,0.75,5063
black,2.5,5065
black,0.25,5067
black,2.5,5069
black,2.5,5071
black,0.5,5073
black,0.5,5075
black,2.5,5077
black,0.25,5079
black,2.0,5081
black,0.875,5083
black,2.5,5085
black,2.5,5087
black,0.1,5089
black,2.5,5091
black,2.5,5093
black,1.125,5095
black,2.5,5097
black,1.0,5099
black,0.1,5101
black,2.5,5103
black,0.1,5105
black,2.5,5107
black,0.5,5109
black,0.75,5111
black,0.1,5113
black,1.0,5115
black,0.75,5117
black,2.0,5119
black,1.0,5121
black,1.5,5123
black,2.5,5125
black,1.5,5127
black,2.5,5129
black,1.75,5131
black,0.5,5133
black,0.1,5135
black,2.5,5137
black,2.5,5139
black,0.5,5141
black,0.5,5143
black,1.25,5145
black,0.5,5147
black,0.1,5149
black,1.0,6001
black,0.1,6003
black,0.75,6005
black,0.5,6007
black,1.25,6009
black,0.25,6011
black,0.5,6013
black,0.1,6015
black,0.25,6017
black,0.75,6019
black,0.25,6021
black,0.5,6023
black,1.125,6025
black,0.25,6027
black,0.875,6029
black,1.125,6031
black,0.5,6033
black,1.125,6035
black,1.375,6037
black,0.5,6039
black,0.25,6041
black,0.5,6043
black,0.5,6045
black,0.75,6047
black,2.0,6049
black,0.25,6051
black,0.5,6053
black,0.25,6055
black,0.25,6057
black,0.5,6059
black,0.5,6061
black,0.1,6063
black,0.875,6065
black,0.75,6067
black,0.5,6069
black,0.75,6071
black,0.875,6073
black,0.5,6075
black,1.0,6077
black,0.5,6079
black,0.5,6081
black,0.5,6083
black,0.5,6085
black,0.25,6087
black,0.5,6089
black,0.1,6091
black,0.5,6093
black,0.75,6095
black,0.5,6097
black,0.75,6099
black,0.5,6101
black,0.5,6103
black,2.5,6105
black,0.5,6107
black,0.75,6109
black,0.5,6111
black,0.5,6113
black,0.5,6115
black,0.5,8001
black,0.5,8003
black,0.5,8005
black,0.1,8007
black,2.5,8009
black,2.5,8011
black,0.25,8013
black,0.25,8014
black,0.25,8015
black,0.1,8017
black,0.75,8019
black,2.5,8021
black,0.1,8023
black,1.75,8025
black,0.1,8027
black,0.1,8029
black,0.75,8031
black,0.1,8033
black,0.25,8035
black,2.5,8037
black,0.1,8039
black,0.5,8041
black,0.5,8043
black,2.5,8045
black,0.1,8047
black,0.1,8049
black,0.1,8051
black,0.1,8053
black,2.5,8055
black,0.1,8057
black,0.5,8059
black,0.1,8061
black,2.0,8063
black,2.5,8065
black,0.1,8067
black,0.25,8069
black,2.5,8071
black,0.1,8073
black,1.375,8075
black,0.25,8077
black,0.1,8079
black,0.25,8081
black,2.5,8083
black,0.25,8085
black,0.1,8087
black,0.25,8089
black,0.1,8091
black,0.1,8093
black,0.1,8095
black,0.5,8097
black,2.5,8099
black,0.25,8101
black,0.25,8103
black,0.5,8105
black,0.5,8107
black,0.1,8109
black,0.1,8111
black,0.1,8113
black,0.5,8115
black,0.1,8117
black,0.1,8119
